county,FIPS,date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
Cobb County GA,13067,04/30,0.00,8.00,49.00,0.00,1.00,5.00
Cobb County GA,13067,05/01,1.00,8.00,40.00,0.00,1.00,6.00
Cobb County GA,13067,05/02,0.00,7.00,46.00,0.00,1.00,6.00
Cobb County GA,13067,05/03,1.00,6.00,44.00,0.00,1.00,4.00
Alameda County CA,6001,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Alameda County CA,6001,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Alameda County CA,6001,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Alameda County CA,6001,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Alameda County CA,6001,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Alameda County CA,6001,02/26,0.00,0.00,1.00,0.00,0.00,0.00
Alameda County CA,6001,02/27,0.00,0.00,1.00,0.00,0.00,0.00
Alameda County CA,6001,02/28,0.00,0.00,2.00,0.00,0.00,0.00
Alameda County CA,6001,02/29,0.00,0.00,1.00,0.00,0.00,0.00
Alameda County CA,6001,03/01,0.00,0.00,2.00,0.00,0.00,0.00
Alameda County CA,6001,03/02,0.00,0.00,2.00,0.00,0.00,0.00
Alameda County CA,6001,03/03,0.00,0.00,2.00,0.00,0.00,0.00
Alameda County CA,6001,03/04,0.00,1.00,4.00,0.00,0.00,0.00
Alameda County CA,6001,03/05,0.00,1.00,4.00,0.00,0.00,0.00
Alameda County CA,6001,03/06,0.00,2.00,5.00,0.00,0.00,0.00
Alameda County CA,6001,03/07,0.00,2.00,5.00,0.00,0.00,0.00
Alameda County CA,6001,03/08,0.00,2.00,8.00,0.00,0.00,0.00
Alameda County CA,6001,03/09,0.00,3.00,7.00,0.00,0.00,0.00
Alameda County CA,6001,03/10,0.00,3.00,8.00,0.00,0.00,1.00
Alameda County CA,6001,03/11,0.00,3.00,9.00,0.00,0.00,0.00
Alameda County CA,6001,03/12,1.00,4.00,11.00,0.00,0.00,1.00
Alameda County CA,6001,03/13,0.00,4.00,12.00,0.00,0.00,1.00
Alameda County CA,6001,03/14,1.00,5.00,13.00,0.00,0.00,1.00
Alameda County CA,6001,03/15,1.00,6.00,15.00,0.00,0.00,2.00
Alameda County CA,6001,03/16,0.00,6.00,14.00,0.00,0.00,1.00
Alameda County CA,6001,03/17,1.00,6.00,17.00,0.00,0.00,1.00
Alameda County CA,6001,03/18,1.00,7.00,18.00,0.00,0.00,2.00
Alameda County CA,6001,03/19,1.00,7.00,22.00,0.00,0.00,1.00
Alameda County CA,6001,03/20,1.00,8.00,23.00,0.00,0.00,2.00
Alameda County CA,6001,03/21,1.00,8.00,25.00,0.00,0.00,2.00
Alameda County CA,6001,03/22,1.00,9.00,22.00,0.00,0.00,2.00
Alameda County CA,6001,03/23,1.00,9.00,27.00,0.00,0.00,3.00
Alameda County CA,6001,03/24,1.00,9.00,26.00,0.00,0.00,2.00
Alameda County CA,6001,03/25,2.00,8.00,30.00,0.00,0.00,2.00
Alameda County CA,6001,03/26,1.00,9.00,29.00,0.00,0.00,3.00
Alameda County CA,6001,03/27,2.00,9.00,29.00,0.00,0.00,3.00
Alameda County CA,6001,03/28,2.00,11.00,35.00,0.00,1.00,4.00
Alameda County CA,6001,03/29,2.00,12.00,37.00,0.00,0.00,3.00
Alameda County CA,6001,03/30,2.00,12.00,40.00,0.00,1.00,4.00
Alameda County CA,6001,03/31,3.00,11.00,44.00,0.00,1.00,4.00
Alameda County CA,6001,04/01,4.00,12.00,47.00,0.00,1.00,3.00
Alameda County CA,6001,04/02,3.00,13.00,55.00,0.00,1.00,4.00
Alameda County CA,6001,04/03,2.00,13.00,48.00,0.00,1.00,3.00
Alameda County CA,6001,04/04,3.00,13.00,43.00,0.00,1.00,4.00
Alameda County CA,6001,04/05,2.00,13.00,49.00,0.00,1.00,5.00
Alameda County CA,6001,04/06,3.00,14.00,53.00,0.00,1.00,4.00
Alameda County CA,6001,04/07,3.00,14.00,63.00,0.00,1.00,5.00
Alameda County CA,6001,04/08,2.00,14.00,63.00,0.00,1.00,5.00
Alameda County CA,6001,04/09,3.00,16.00,63.00,0.00,1.00,4.00
Alameda County CA,6001,04/10,2.00,18.00,66.00,0.00,1.00,6.00
Alameda County CA,6001,04/11,3.00,17.00,73.00,0.00,1.00,5.00
Alameda County CA,6001,04/12,3.00,16.00,66.00,0.00,1.00,7.00
Alameda County CA,6001,04/13,2.00,17.00,79.00,0.00,1.00,5.00
Alameda County CA,6001,04/14,2.00,18.00,68.00,0.00,1.00,6.00
Alameda County CA,6001,04/15,2.00,15.00,69.00,0.00,1.00,6.00
Alameda County CA,6001,04/16,3.00,16.00,79.00,0.00,1.00,5.00
Alameda County CA,6001,04/17,3.00,15.00,74.00,0.00,1.00,4.00
Alameda County CA,6001,04/18,2.00,16.00,70.00,0.00,1.00,5.00
Alameda County CA,6001,04/19,2.00,13.00,63.00,0.00,1.00,4.00
Alameda County CA,6001,04/20,2.00,13.00,69.00,0.00,1.00,5.00
Alameda County CA,6001,04/21,2.00,12.00,63.00,0.00,1.00,5.00
Alameda County CA,6001,04/22,1.00,14.00,64.00,0.00,1.00,6.00
Alameda County CA,6001,04/23,1.00,13.00,62.00,0.00,1.00,6.00
Alameda County CA,6001,04/24,1.00,11.00,61.00,0.00,1.00,4.00
Alameda County CA,6001,04/25,1.00,11.00,64.00,0.00,1.00,4.00
Alameda County CA,6001,04/26,0.00,11.00,57.00,0.00,1.00,7.00
Alameda County CA,6001,04/27,1.00,10.00,60.00,0.00,1.00,8.00
Alameda County CA,6001,04/28,2.00,11.00,65.00,0.00,1.00,4.00
Alameda County CA,6001,04/29,1.00,11.00,54.00,0.00,1.00,5.00
Alameda County CA,6001,04/30,1.00,10.00,52.00,0.00,1.00,5.00
Alameda County CA,6001,05/01,1.00,11.00,63.00,0.00,1.00,6.00
Alameda County CA,6001,05/02,1.00,9.00,57.00,0.00,1.00,5.00
Alameda County CA,6001,05/03,1.00,9.00,56.00,0.00,1.00,5.00
Pickaway County OH,39129,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,02/26,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,02/27,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,02/28,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,02/29,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,03/01,0.00,0.00,0.00,0.00,0.00,0.00
